Name,Latest Chapter,Dated Released,depth,download_timeout,download_slot,download_latency,Link,Genre,Status,Rating,img-link
Rumor Has It,Chapter 31,"May 01,21",5,180.0,manganelo.com,0.3469998836517334,https://manganelo.com/manga/ga926157,"Comedy,Drama,Psychological,Romance,School life,Webtoons",Ongoing,3.91,https://avt.mkklcdnv6temp.com/46/p/23-1617090852.jpg
The Prince Wants You,Chapter 31.2,"May 01,21",5,180.0,manganelo.com,0.325000524520874,https://manganelo.com/manga/bu926076,"Historical,Mystery,Romance,Shoujo",Ongoing,4.06,https://avt.mkklcdnv6temp.com/43/g/23-1616040953.jpg
Incompetent Villain,Chapter 16,"May 01,21",5,180.0,manganelo.com,0.3753550052642822,https://manganelo.com/manga/fv925562,"Action,Comedy,Mystery",Ongoing,4.55,https://avt.mkklcdnv6temp.com/22/b/23-1612753639.jpg
Supreme Red Packet Emperor,Chapter 15,"May 01,21",5,180.0,manganelo.com,0.43431925773620605,https://manganelo.com/manga/tk926403,"Action,Adventure,Martial arts",Ongoing,4.52,https://avt.mkklcdnv6temp.com/6/u/24-1618848287.jpg
Perfect Secret Love: The Bad New Wife Is A Little Sweet,Chapter 169,"May 01,21",5,180.0,manganelo.com,0.356276273727417,https://manganelo.com/manga/es922281,"Action,Comedy,Romance,Webtoons",Ongoing,4.72,https://avt.mkklcdnv6temp.com/38/a/20-1583502506.jpg
Super Cube,Chapter 81,"May 01,21",5,180.0,manganelo.com,0.3353426456451416,https://manganelo.com/manga/qr922343,"Action,Adventure,Fantasy",Ongoing,4.57,https://avt.mkklcdnv6temp.com/40/z/20-1583574494.jpg
I Just Want To Be A Useless Duke's Daughter,Chapter 87,"May 01,21",6,180.0,manganelo.com,0.3192896842956543,https://manganelo.com/manga/xf923071,"Fantasy,Historical,Romance,Webtoons",Ongoing,4.59,https://avt.mkklcdnv6temp.com/20/h/21-1590646689.jpg
Peerless Martial Spirit,Chapter 62,"May 01,21",6,180.0,manganelo.com,0.3153197765350342,https://manganelo.com/manga/kz923857,"Action,Comedy,Martial arts,Webtoons",Ongoing,4.58,https://avt.mkklcdnv6temp.com/2/f/22-1598113237.jpg
Tsui No Taimashi ―Ender Geisterー,Chapter 35,"May 01,21",5,180.0,manganelo.com,0.3953094482421875,https://manganelo.com/manga/ro923082,"Action,Adventure,Ecchi,Horror,Shounen,Supernatural",Ongoing,4.81,https://avt.mkklcdnv6temp.com/20/v/21-1590726788.jpg
I’M Berserk To Upgrade,Chapter 15,"May 01,21",6,180.0,manganelo.com,0.33497047424316406,https://manganelo.com/manga/yr925898,"Action,Adventure,Martial arts",Ongoing,4.41,https://avt.mkklcdnv6temp.com/35/z/23-1614615055.jpg
The Female Teacher Who Fight Back,Chapter 9,"May 01,21",6,180.0,manganelo.com,0.3480687141418457,https://manganelo.com/manga/lz925141,Manhwa,Ongoing,4.27,https://avt.mkklcdnv6temp.com/4/w/23-1610414662.jpg
Nameless Lantern,Chapter 12,"May 01,21",6,180.0,manganelo.com,0.343048095703125,https://manganelo.com/manga/du925065,"Action,Fantasy,Historical,Romance",Ongoing,4.75,https://avt.mkklcdnv6temp.com/1/s/22-1609819803.jpg
Nine,Chapter 3,"May 01,21",6,180.0,manganelo.com,0.3340442180633545,https://manganelo.com/manga/nine,"Romance,Shoujo",Ongoing,3549879.89,https://avt.mkklcdnv6temp.com/6/r/24-1618847234.jpg
"Strong Gale, Mad Dragon",Chapter 39,"May 01,21",6,180.0,manganelo.com,0.5550425052642822,https://manganelo.com/manga/zc923858,"Action,Adventure,Martial arts",Ongoing,4.64,https://avt.mkklcdnv6temp.com/2/g/22-1598113493.jpg
Revenge Of A Fierce Princess,Chapter 294,"May 01,21",6,180.0,manganelo.com,0.38681459426879883,https://manganelo.com/manga/il920451,"Fantasy,Romance,Webtoons",Ongoing,3.97,https://avt.mkklcdnv6temp.com/19/i/19-1583499855.jpg
